,go_sequence,p_value
252,GO:0006231,0.37
253,GO:0006233,0.952
254,GO:0006241,0.397
255,GO:0006256,0.143
256,GO:0006259,0.305
257,GO:0006260,0.039
258,GO:0006261,0.599
259,GO:0006264,0.563
260,GO:0006265,0.445
261,GO:0006266,0.554
262,GO:0006267,0.209
263,GO:0006268,0.334
264,GO:0006269,0.356
265,GO:0006270,0.45
266,GO:0006271,0.339
267,GO:0006272,0.502
268,GO:0006273,0.574
269,GO:0006275,0.762
270,GO:0006281,0.001
271,GO:0006283,0.782
272,GO:0006284,0.719
273,GO:0006285,0.942
274,GO:0006287,0.204
275,GO:0006289,0.166
276,GO:0006290,0.448
278,GO:0006296,0.824
279,GO:0006297,0.213
280,GO:0006298,0.4
281,GO:0006301,0.649
282,GO:0006302,0.146
283,GO:0006303,0.007
284,GO:0006307,0.765
285,GO:0006309,0.602
286,GO:0006310,1.0
287,GO:0006312,0.357
289,GO:0006325,0.135
290,GO:0006333,0.671
291,GO:0006334,0.129
292,GO:0006335,0.884
293,GO:0006337,0.307
294,GO:0006338,0.353
295,GO:0006342,0.486
296,GO:0006346,0.916
297,GO:0006348,0.066
298,GO:0006351,0.127
299,GO:0006352,0.376
300,GO:0006353,0.799
301,GO:0006355,1.0
302,GO:0006357,1.0
303,GO:0006360,0.338
304,GO:0006361,0.056
305,GO:0006363,0.722
306,GO:0006364,0.129
307,GO:0006366,1.0
308,GO:0006367,1.0
309,GO:0006368,0.444
310,GO:0006369,0.093
311,GO:0006370,0.763
312,GO:0006376,0.051
313,GO:0006378,0.479
314,GO:0006379,0.541
316,GO:0006383,0.075
317,GO:0006384,0.408
318,GO:0006386,0.747
319,GO:0006388,0.77
320,GO:0006390,0.84
321,GO:0006396,0.141
322,GO:0006397,0.051
323,GO:0006398,0.69
324,GO:0006399,0.549
325,GO:0006400,0.303
326,GO:0006401,0.555
327,GO:0006402,0.4
328,GO:0006406,0.329
329,GO:0006408,0.203
330,GO:0006409,0.843
331,GO:0006412,0.0
332,GO:0006413,1.0
333,GO:0006414,0.197
334,GO:0006415,0.478
335,GO:0006417,0.273
336,GO:0006418,0.233
337,GO:0006419,0.557
338,GO:0006420,0.6
339,GO:0006421,0.616
340,GO:0006422,0.354
342,GO:0006424,0.547
343,GO:0006425,0.48
344,GO:0006426,0.376
345,GO:0006427,0.695
346,GO:0006428,0.439
347,GO:0006429,0.257
349,GO:0006431,0.889
350,GO:0006432,0.698
351,GO:0006433,0.465
352,GO:0006434,0.802
353,GO:0006435,0.76
354,GO:0006436,0.549
355,GO:0006437,0.566
356,GO:0006438,0.45
357,GO:0006446,0.541
358,GO:0006449,0.096
359,GO:0006450,0.556
360,GO:0006452,0.863
361,GO:0006457,0.042
362,GO:0006458,0.938
363,GO:0006464,0.132
364,GO:0006465,1.0
365,GO:0006468,1.0
366,GO:0006469,0.791
367,GO:0006470,1.0
368,GO:0006471,0.72
369,GO:0006473,0.123
371,GO:0006476,0.642
372,GO:0006478,0.324
373,GO:0006479,0.028
374,GO:0006480,0.086
375,GO:0006481,0.202
376,GO:0006482,0.629
377,GO:0006486,1.0
378,GO:0006487,0.124
379,GO:0006488,0.331
380,GO:0006489,0.237
381,GO:0006490,0.667
382,GO:0006491,0.487
383,GO:0006493,0.257
384,GO:0006497,0.765
385,GO:0006499,0.688
386,GO:0006501,0.44
387,GO:0006506,1.0
388,GO:0006508,1.0
389,GO:0006509,0.853
390,GO:0006511,1.0
391,GO:0006513,0.702
392,GO:0006515,0.775
393,GO:0006516,0.788
394,GO:0006517,0.09
395,GO:0006518,0.031
396,GO:0006520,0.396
397,GO:0006525,0.878
398,GO:0006529,0.297
399,GO:0006532,0.486
400,GO:0006533,0.68
401,GO:0006535,0.36
402,GO:0006537,0.825
403,GO:0006539,0.152
404,GO:0006541,0.048
405,GO:0006542,0.233
406,GO:0006544,0.714
407,GO:0006545,0.736
408,GO:0006546,0.657
409,GO:0006548,0.82
410,GO:0006552,0.212
411,GO:0006555,0.257
412,GO:0006556,0.28
413,GO:0006557,0.51
414,GO:0006559,0.557
415,GO:0006560,0.909
416,GO:0006561,0.849
417,GO:0006562,0.803
418,GO:0006563,0.109
419,GO:0006564,0.293
420,GO:0006565,0.272
421,GO:0006567,0.326
422,GO:0006569,0.001
423,GO:0006570,0.331
425,GO:0006572,1.0
427,GO:0006574,0.525
428,GO:0006581,0.646
429,GO:0006585,1.0
430,GO:0006589,0.137
431,GO:0006595,0.024
432,GO:0006596,0.107
433,GO:0006597,0.513
434,GO:0006605,0.381
435,GO:0006606,0.134
436,GO:0006607,0.725
437,GO:0006610,0.857
438,GO:0006611,0.202
439,GO:0006612,0.403
440,GO:0006614,0.156
441,GO:0006616,0.345
442,GO:0006617,0.751
443,GO:0006620,0.807
444,GO:0006621,0.37
445,GO:0006623,0.496
446,GO:0006624,0.776
447,GO:0006625,0.392
448,GO:0006626,0.67
449,GO:0006627,0.496
450,GO:0006629,1.0
451,GO:0006631,1.0
452,GO:0006633,1.0
453,GO:0006635,0.287
454,GO:0006636,0.111
455,GO:0006637,1.0
456,GO:0006641,0.01
457,GO:0006643,0.063
458,GO:0006644,1.0
459,GO:0006646,0.042
460,GO:0006654,0.315
461,GO:0006656,0.551
462,GO:0006657,0.147
463,GO:0006659,0.51
464,GO:0006661,0.55
465,GO:0006662,0.34
466,GO:0006664,0.669
467,GO:0006665,0.512
468,GO:0006672,0.888
469,GO:0006679,0.545
470,GO:0006680,0.287
472,GO:0006685,0.635
473,GO:0006686,0.719
474,GO:0006689,0.967
475,GO:0006694,0.219
476,GO:0006695,0.166
477,GO:0006729,0.647
478,GO:0006730,0.127
479,GO:0006734,0.4
480,GO:0006739,0.438
481,GO:0006741,0.499
482,GO:0006742,0.021
483,GO:0006744,0.611
484,GO:0006747,0.895
485,GO:0006749,1.0
486,GO:0006750,0.75
487,GO:0006751,0.192
488,GO:0006753,1.0
489,GO:0006754,0.417
490,GO:0006769,0.029
491,GO:0006772,0.946
492,GO:0006777,0.675
493,GO:0006783,0.576
494,GO:0006784,0.622
495,GO:0006790,0.297
496,GO:0006796,0.676
497,GO:0006801,0.013
498,GO:0006805,1.0
499,GO:0006807,0.23
500,GO:0006811,1.0
501,GO:0006812,1.0
502,GO:0006813,1.0
503,GO:0006814,1.0
504,GO:0006816,0.468
505,GO:0006817,0.297
506,GO:0006820,0.389
507,GO:0006821,1.0
508,GO:0006825,0.152
509,GO:0006826,0.497
510,GO:0006828,1.0
511,GO:0006829,0.249
512,GO:0006833,0.454
513,GO:0006836,1.0
514,GO:0006837,0.023
516,GO:0006843,0.156
517,GO:0006844,0.191
518,GO:0006850,0.718
519,GO:0006851,0.825
520,GO:0006857,0.262
521,GO:0006865,0.05
522,GO:0006869,0.195
523,GO:0006874,0.467
524,GO:0006878,0.58
525,GO:0006879,0.516
526,GO:0006880,0.632
527,GO:0006882,0.338
528,GO:0006883,0.304
529,GO:0006884,0.2
530,GO:0006885,0.274
531,GO:0006886,1.0
532,GO:0006887,0.214
533,GO:0006888,1.0
534,GO:0006890,0.389
535,GO:0006891,0.288
537,GO:0006893,0.038
538,GO:0006895,0.68
539,GO:0006896,0.34
540,GO:0006897,1.0
541,GO:0006898,0.037
542,GO:0006904,0.172
543,GO:0006906,0.523
544,GO:0006907,0.411
545,GO:0006909,0.147
546,GO:0006911,0.329
547,GO:0006913,0.292
548,GO:0006914,1.0
549,GO:0006915,0.074
550,GO:0006919,0.037
551,GO:0006935,1.0
552,GO:0006936,0.438
553,GO:0006937,1.0
554,GO:0006952,0.18
555,GO:0006955,0.844
556,GO:0006970,0.603
557,GO:0006972,1.0
558,GO:0006974,0.183
559,GO:0006979,1.0
560,GO:0006986,0.526
561,GO:0006995,0.229
562,GO:0006997,0.616
563,GO:0006998,0.293
564,GO:0006999,0.21
565,GO:0007004,0.66
566,GO:0007005,0.383
567,GO:0007007,0.27
568,GO:0007009,0.842
569,GO:0007010,0.191
570,GO:0007015,0.406
571,GO:0007016,0.839
572,GO:0007017,1.0
573,GO:0007018,1.0
574,GO:0007019,0.91
575,GO:0007020,0.123
576,GO:0007021,0.051
577,GO:0007023,0.033
578,GO:0007026,0.239
579,GO:0007029,0.429
580,GO:0007030,1.0
581,GO:0007031,0.229
582,GO:0007032,0.72
583,GO:0007033,0.628
584,GO:0007034,0.413
585,GO:0007035,0.515
586,GO:0007040,0.471
587,GO:0007041,0.599
588,GO:0007042,0.154
589,GO:0007049,0.161
590,GO:0007050,0.401
591,GO:0007051,0.828
592,GO:0007052,0.01
593,GO:0007059,0.543
594,GO:0007062,0.288
595,GO:0007064,0.119
596,GO:0007076,0.174
597,GO:0007079,0.054
598,GO:0007080,0.068
599,GO:0007084,0.416
600,GO:0007088,0.667
601,GO:0007091,0.85
602,GO:0007093,0.882
603,GO:0007094,1.0
604,GO:0007095,0.176
605,GO:0007096,0.463
606,GO:0007097,0.012
607,GO:0007098,0.803
608,GO:0007099,0.39
609,GO:0007100,0.379
