,go_sequence,p_value
1113,GO:0018279,0.545
1115,GO:0018293,0.437
1117,GO:0018315,0.324
1118,GO:0018342,0.673
1119,GO:0018343,0.709
1120,GO:0018344,0.663
1121,GO:0018345,0.505
1122,GO:0018364,0.4
1123,GO:0018401,0.621
1124,GO:0018406,0.32
1125,GO:0018985,0.54
1126,GO:0018991,0.063
1127,GO:0018992,0.705
1128,GO:0018996,1.0
1129,GO:0019079,0.782
1130,GO:0019099,0.62
1131,GO:0019100,0.132
1132,GO:0019102,0.333
1133,GO:0019216,0.689
1134,GO:0019217,0.246
1135,GO:0019221,0.029
1137,GO:0019236,0.28
1138,GO:0019243,0.542
1140,GO:0019254,0.187
1141,GO:0019262,0.41
1142,GO:0019264,0.353
1143,GO:0019265,0.311
1144,GO:0019284,0.811
1145,GO:0019287,0.156
1146,GO:0019303,0.055
1147,GO:0019310,0.435
1149,GO:0019323,0.451
1150,GO:0019343,0.556
1151,GO:0019344,0.505
1152,GO:0019346,0.259
1153,GO:0019348,0.147
1154,GO:0019358,0.74
1155,GO:0019363,0.022
1156,GO:0019367,1.0
1157,GO:0019369,0.649
1158,GO:0019388,0.108
1159,GO:0019391,0.736
1160,GO:0019408,0.046
1161,GO:0019427,0.849
1162,GO:0019430,0.052
1163,GO:0019432,0.177
1164,GO:0019433,0.601
1165,GO:0019439,0.699
1166,GO:0019441,0.012
1167,GO:0019442,0.025
1168,GO:0019448,0.535
1169,GO:0019464,0.483
1170,GO:0019478,0.492
1171,GO:0019482,0.77
1172,GO:0019499,0.36
1173,GO:0019500,0.34
1174,GO:0019509,0.397
1175,GO:0019510,0.519
1176,GO:0019511,0.086
1177,GO:0019516,0.931
1178,GO:0019521,0.324
1179,GO:0019532,0.623
1180,GO:0019538,0.171
1181,GO:0019543,0.568
1182,GO:0019544,0.943
1183,GO:0019556,0.751
1184,GO:0019563,0.357
1185,GO:0019673,0.418
1186,GO:0019674,1.0
1187,GO:0019676,0.848
1189,GO:0019693,1.0
1190,GO:0019722,0.01
1191,GO:0019748,0.796
1192,GO:0019752,0.223
1193,GO:0019805,0.029
1194,GO:0019856,0.193
1195,GO:0019878,0.641
1196,GO:0019915,0.252
1197,GO:0019918,0.221
1198,GO:0019919,0.442
1199,GO:0019932,0.429
1200,GO:0019934,0.808
1201,GO:0019941,0.243
1202,GO:0019985,0.441
1203,GO:0022008,0.829
1204,GO:0022401,1.0
1205,GO:0022409,0.51
1206,GO:0022417,0.192
1208,GO:0022604,0.472
1209,GO:0022900,0.256
1210,GO:0022904,0.76
1211,GO:0023014,1.0
1212,GO:0023051,0.524
1213,GO:0023052,0.206
1214,GO:0030001,0.294
1215,GO:0030007,0.249
1216,GO:0030010,0.692
1217,GO:0030030,0.157
1218,GO:0030031,0.523
1219,GO:0030033,0.749
1220,GO:0030036,0.216
1221,GO:0030041,0.485
1222,GO:0030042,0.159
1223,GO:0030048,0.536
1225,GO:0030100,1.0
1226,GO:0030111,0.025
1227,GO:0030148,1.0
1228,GO:0030149,0.762
1229,GO:0030150,0.189
1230,GO:0030154,1.0
1231,GO:0030155,0.005
1232,GO:0030162,0.565
1233,GO:0030163,1.0
1234,GO:0030166,0.265
1235,GO:0030174,0.814
1236,GO:0030177,0.668
1237,GO:0030178,0.766
1238,GO:0030182,1.0
1239,GO:0030194,0.922
1240,GO:0030198,1.0
1241,GO:0030199,0.914
1242,GO:0030206,1.0
1243,GO:0030207,0.754
1244,GO:0030238,0.152
1245,GO:0030239,0.717
1246,GO:0030240,0.379
1247,GO:0030241,0.383
1248,GO:0030242,0.377
1249,GO:0030261,1.0
1250,GO:0030307,0.946
1251,GO:0030308,0.865
1252,GO:0030311,0.578
1253,GO:0030322,1.0
1254,GO:0030334,0.31
1255,GO:0030335,0.0
1256,GO:0030336,0.757
1257,GO:0030388,0.214
1258,GO:0030421,0.159
1259,GO:0030422,0.033
1260,GO:0030431,1.0
1261,GO:0030433,0.254
1262,GO:0030473,0.006
1263,GO:0030488,0.374
1264,GO:0030490,0.063
1265,GO:0030497,0.348
1266,GO:0030509,0.285
1267,GO:0030510,0.406
1268,GO:0030511,0.462
1269,GO:0030512,0.455
1270,GO:0030514,0.384
1271,GO:0030516,0.891
1272,GO:0030517,0.626
1273,GO:0030522,0.548
1274,GO:0030536,0.558
1275,GO:0030538,0.572
1276,GO:0030540,0.77
1277,GO:0030574,1.0
1278,GO:0030590,0.445
1279,GO:0030641,0.877
1280,GO:0030703,0.198
1281,GO:0030705,0.713
1282,GO:0030728,0.772
1283,GO:0030833,1.0
1284,GO:0030836,0.376
1285,GO:0030837,0.071
1286,GO:0030838,0.865
1287,GO:0030865,0.203
1288,GO:0030866,0.218
1289,GO:0030950,0.028
1290,GO:0030951,0.824
1291,GO:0030953,0.574
1292,GO:0030968,0.258
1293,GO:0030970,0.205
1294,GO:0030997,0.603
1295,GO:0031032,0.634
1296,GO:0031047,0.273
1297,GO:0031048,0.259
1298,GO:0031053,0.09
1299,GO:0031054,0.108
1300,GO:0031063,0.198
1301,GO:0031064,0.118
1302,GO:0031081,0.173
1303,GO:0031087,0.863
1304,GO:0031098,1.0
1305,GO:0031103,0.529
1306,GO:0031106,0.187
1307,GO:0031110,0.401
1308,GO:0031113,0.172
1310,GO:0031117,0.816
1311,GO:0031118,0.568
1312,GO:0031119,0.384
1313,GO:0031120,0.584
1314,GO:0031122,0.48
1315,GO:0031123,0.809
1316,GO:0031124,0.687
1317,GO:0031145,0.226
1318,GO:0031146,0.504
1319,GO:0031167,0.432
1320,GO:0031175,0.648
1321,GO:0031204,0.362
1322,GO:0031293,0.592
1323,GO:0031297,0.732
1324,GO:0031344,0.049
1325,GO:0031398,0.697
1326,GO:0031468,0.892
1327,GO:0031532,0.188
1328,GO:0031536,0.351
1329,GO:0031573,0.183
1330,GO:0031581,0.291
1331,GO:0031629,0.651
1332,GO:0031647,0.013
1333,GO:0031848,0.079
1334,GO:0031929,0.793
1335,GO:0031936,1.0
1336,GO:0031952,0.731
1337,GO:0031954,0.65
1338,GO:0031987,0.407
1339,GO:0031990,0.273
1340,GO:0031991,0.048
1341,GO:0032006,0.422
1342,GO:0032007,1.0
1343,GO:0032008,0.449
1344,GO:0032012,0.548
1345,GO:0032024,0.528
1346,GO:0032042,0.185
1347,GO:0032049,0.767
1348,GO:0032077,0.391
1349,GO:0032091,0.45
1350,GO:0032094,1.0
1351,GO:0032147,1.0
1352,GO:0032212,0.188
1353,GO:0032218,0.777
1354,GO:0032222,1.0
1355,GO:0032224,0.65
1356,GO:0032228,0.774
1357,GO:0032230,0.486
1358,GO:0032237,0.51
1359,GO:0032258,0.427
1360,GO:0032259,0.068
1361,GO:0032263,0.725
1362,GO:0032264,0.473
1363,GO:0032273,0.556
1364,GO:0032324,0.858
1365,GO:0032350,0.753
1367,GO:0032402,0.404
1368,GO:0032418,0.721
1369,GO:0032435,0.622
1370,GO:0032436,1.0
1371,GO:0032446,0.268
1372,GO:0032447,0.491
1373,GO:0032456,0.221
1374,GO:0032464,0.111
1375,GO:0032465,0.114
1376,GO:0032467,0.558
1377,GO:0032469,0.442
1378,GO:0032480,0.123
1379,GO:0032482,0.047
1380,GO:0032486,0.609
1381,GO:0032488,0.489
1382,GO:0032496,0.945
1383,GO:0032501,0.102
1384,GO:0032502,0.274
1385,GO:0032504,0.228
1386,GO:0032508,0.29
1387,GO:0032509,0.636
1388,GO:0032510,0.097
1389,GO:0032511,0.641
1390,GO:0032515,0.573
1391,GO:0032516,0.652
1392,GO:0032526,0.704
1393,GO:0032534,0.223
1394,GO:0032543,0.405
1396,GO:0032775,0.928
1397,GO:0032780,0.783
1398,GO:0032781,0.202
1399,GO:0032784,0.93
1400,GO:0032786,0.722
1401,GO:0032790,0.39
1402,GO:0032793,0.642
1403,GO:0032801,0.427
1404,GO:0032869,0.696
1405,GO:0032870,0.829
1406,GO:0032873,0.296
1407,GO:0032874,0.069
1408,GO:0032875,0.108
1409,GO:0032876,0.479
1410,GO:0032877,0.254
1411,GO:0032880,0.323
1412,GO:0032924,1.0
1413,GO:0032933,0.37
1414,GO:0032956,0.459
1415,GO:0032958,0.066
1416,GO:0032959,0.025
1417,GO:0032963,0.847
1418,GO:0032964,0.901
1419,GO:0032968,0.526
1420,GO:0032970,0.511
1421,GO:0032979,0.345
1422,GO:0032981,0.489
1423,GO:0033108,0.396
1424,GO:0033120,0.919
1425,GO:0033138,0.416
1426,GO:0033169,0.537
1427,GO:0033211,0.369
1428,GO:0033227,0.286
1429,GO:0033260,0.745
1430,GO:0033314,0.599
1431,GO:0033353,0.488
1432,GO:0033365,0.136
1433,GO:0033384,0.169
1434,GO:0033387,0.328
1435,GO:0033396,0.761
1436,GO:0033499,0.624
1437,GO:0033514,0.814
1438,GO:0033528,0.607
1439,GO:0033539,0.478
1440,GO:0033540,0.078
1441,GO:0033555,0.306
1442,GO:0033563,0.705
1443,GO:0033564,0.816
1445,GO:0033577,0.211
1446,GO:0033578,0.769
1447,GO:0033617,0.099
1448,GO:0033619,0.857
1449,GO:0033627,0.451
1450,GO:0033631,0.338
1451,GO:0033674,0.716
1452,GO:0033683,0.789
1453,GO:0033962,0.901
1454,GO:0033993,0.419
1455,GO:0034059,0.874
1456,GO:0034063,0.537
1457,GO:0034067,0.769
1458,GO:0034080,0.856
1459,GO:0034085,0.926
1460,GO:0034087,0.166
1461,GO:0034088,0.151
1464,GO:0034097,0.941
1465,GO:0034128,0.823
1466,GO:0034198,0.139
1467,GO:0034199,0.712
1468,GO:0034203,0.8
1469,GO:0034219,1.0
1470,GO:0034220,1.0
1471,GO:0034227,0.549
1473,GO:0034314,1.0
1475,GO:0034354,0.135
1476,GO:0034355,0.755
1477,GO:0034389,0.368
1478,GO:0034394,0.709
1479,GO:0034402,0.095
1480,GO:0034427,0.269
1481,GO:0034446,0.397
1482,GO:0034453,0.784
1483,GO:0034462,0.04
1484,GO:0034470,0.295
1485,GO:0034472,0.584
1486,GO:0034473,0.327
1487,GO:0034474,0.682
1488,GO:0034475,0.242
1489,GO:0034476,0.324
1490,GO:0034477,0.945
1491,GO:0034497,0.584
1492,GO:0034498,0.562
1493,GO:0034501,0.425
1494,GO:0034504,0.736
1495,GO:0034514,0.703
1496,GO:0034551,0.179
1497,GO:0034553,0.52
1498,GO:0034587,0.541
1499,GO:0034599,0.7
1500,GO:0034605,0.444
1501,GO:0034606,0.183
1502,GO:0034607,0.167
1503,GO:0034608,0.197
1504,GO:0034609,0.394
1505,GO:0034613,0.69
1506,GO:0034620,0.516
1507,GO:0034622,0.71
1508,GO:0034625,1.0
1509,GO:0034626,1.0
1510,GO:0034629,0.036
1511,GO:0034633,0.563
1512,GO:0034644,0.59
1513,GO:0034660,0.313
1514,GO:0034720,0.785
1515,GO:0034721,0.948
1516,GO:0034724,0.723
1517,GO:0034727,0.328
1518,GO:0034729,0.461
1519,GO:0034755,0.643
1520,GO:0034765,0.242
1522,GO:0034968,0.381
1523,GO:0034969,0.151
1524,GO:0034975,0.648
1525,GO:0034976,0.348
1526,GO:0035017,0.34
1527,GO:0035021,0.491
1528,GO:0035023,0.279
1529,GO:0035025,0.506
1530,GO:0035046,0.046
1531,GO:0035047,0.114
1532,GO:0035066,0.42
1533,GO:0035067,0.121
1534,GO:0035095,0.305
1535,GO:0035148,0.794
1536,GO:0035150,0.838
1538,GO:0035188,0.58
1539,GO:0035194,0.156
1540,GO:0035195,0.682
1541,GO:0035196,0.803
1542,GO:0035229,0.619
1543,GO:0035235,1.0
1544,GO:0035246,0.155
1545,GO:0035249,0.407
1546,GO:0035262,0.164
1547,GO:0035264,0.367
1548,GO:0035269,0.653
1549,GO:0035307,0.376
1550,GO:0035308,0.722
1551,GO:0035317,0.335
1552,GO:0035329,0.587
1553,GO:0035335,1.0
1554,GO:0035336,0.088
1555,GO:0035350,0.257
1556,GO:0035372,0.402
1557,GO:0035404,0.049
1558,GO:0035418,0.52
1559,GO:0035434,0.402
1560,GO:0035435,0.166
1561,GO:0035442,0.301
1562,GO:0035461,1.0
1563,GO:0035493,0.492
1564,GO:0035494,0.728
1567,GO:0035542,0.796
1568,GO:0035545,0.844
1569,GO:0035556,1.0
1570,GO:0035567,0.58
1571,GO:0035600,0.544
1572,GO:0035621,0.36
1573,GO:0035627,0.687
1575,GO:0035672,0.265
1576,GO:0035694,1.0
1577,GO:0035695,1.0
1579,GO:0035721,1.0
1580,GO:0035725,1.0
1581,GO:0035735,1.0
1582,GO:0035871,0.826
1583,GO:0035882,0.091
1585,GO:0035965,0.283
1586,GO:0035966,0.57
1587,GO:0035973,0.783
1588,GO:0035999,0.415
1589,GO:0036003,0.166
1590,GO:0036065,0.444
1591,GO:0036066,0.442
1592,GO:0036071,0.762
1593,GO:0036085,0.493
1594,GO:0036092,0.735
1595,GO:0036093,0.766
1596,GO:0036149,0.235
1598,GO:0036228,0.46
1599,GO:0036261,0.648
1600,GO:0036265,0.867
1601,GO:0036292,0.758
1602,GO:0036297,0.037
1603,GO:0036369,0.39
1604,GO:0036376,0.317
1605,GO:0036444,0.916
1607,GO:0036529,0.392
1608,GO:0038007,0.368
1609,GO:0038063,0.52
1611,GO:0038083,0.46
1612,GO:0038202,0.399
1613,GO:0038203,0.079
1614,GO:0039536,0.114
1615,GO:0040001,0.486
1616,GO:0040002,0.27
1617,GO:0040009,0.308
1618,GO:0040010,0.074
1619,GO:0040011,1.0
1620,GO:0040012,0.232
1621,GO:0040013,0.756
1622,GO:0040014,0.412
1623,GO:0040015,0.518
1625,GO:0040017,1.0
1626,GO:0040018,0.283
1627,GO:0040019,0.109
1628,GO:0040021,0.599
1629,GO:0040022,0.49
1630,GO:0040024,0.441
1631,GO:0040025,1.0
1632,GO:0040026,0.47
1633,GO:0040027,0.041
1634,GO:0040028,1.0
1635,GO:0040029,0.929
1636,GO:0040031,0.719
1637,GO:0040032,0.498
1638,GO:0040034,0.137
1639,GO:0040035,0.591
1640,GO:0040036,0.352
1641,GO:0040038,0.028
1642,GO:0040039,0.326
1643,GO:0040040,0.008
1644,GO:0042001,0.512
1645,GO:0042004,0.62
1646,GO:0042006,0.126
1647,GO:0042023,0.705
1648,GO:0042026,1.0
1649,GO:0042048,1.0
1650,GO:0042059,0.738
1651,GO:0042073,0.483
1652,GO:0042074,0.145
1653,GO:0042078,0.653
1655,GO:0042127,1.0
1656,GO:0042128,0.198
1657,GO:0042135,0.67
1658,GO:0042136,1.0
1659,GO:0042138,0.163
1660,GO:0042147,0.136
1661,GO:0042148,0.347
1662,GO:0042149,1.0
1663,GO:0042157,0.271
1664,GO:0042176,0.555
1665,GO:0042178,0.254
1666,GO:0042254,0.062
1667,GO:0042255,0.272
1668,GO:0042256,0.699
1669,GO:0042262,0.466
1670,GO:0042264,0.694
1671,GO:0042273,0.151
1672,GO:0042274,0.175
1673,GO:0042276,0.782
1674,GO:0042303,0.77
1675,GO:0042307,0.276
1676,GO:0042308,1.0
1678,GO:0042326,0.408
1680,GO:0042338,1.0
1681,GO:0042350,0.937
1682,GO:0042352,0.786
1683,GO:0042391,1.0
1684,GO:0042395,1.0
1685,GO:0042407,0.953
1686,GO:0042412,0.536
1687,GO:0042416,1.0
1688,GO:0042417,0.025
1689,GO:0042420,0.362
1690,GO:0042421,0.351
1691,GO:0042423,1.0
1692,GO:0042427,1.0
1693,GO:0042438,0.445
1694,GO:0042464,0.652
1695,GO:0042493,0.674
1696,GO:0042542,0.167
1697,GO:0042554,0.212
1698,GO:0042558,0.771
1699,GO:0042574,0.68
1700,GO:0042592,0.238
1701,GO:0042593,0.329
1702,GO:0042594,0.622
1703,GO:0042595,0.708
1705,GO:0042659,0.49
1706,GO:0042661,0.35
1707,GO:0042692,0.731
1708,GO:0042694,0.166
1709,GO:0042732,0.699
1710,GO:0042738,1.0
1711,GO:0042742,0.763
1712,GO:0042744,0.05
1713,GO:0042759,0.367
1714,GO:0042761,1.0
1715,GO:0042770,0.747
1716,GO:0042771,0.762
1717,GO:0042773,0.171
1718,GO:0042776,0.236
1719,GO:0042779,0.624
1720,GO:0042791,0.508
1721,GO:0042795,0.897
1722,GO:0042796,0.881
1723,GO:0042811,0.024
1724,GO:0042866,0.124
1725,GO:0042908,0.229
1726,GO:0042938,0.742
1727,GO:0042953,0.608
1728,GO:0042981,0.014
1729,GO:0042989,0.416
1730,GO:0043001,0.439
1731,GO:0043004,0.764
1732,GO:0043039,0.346
1733,GO:0043044,0.227
1734,GO:0043048,0.166
1735,GO:0043050,1.0
1736,GO:0043051,0.301
1737,GO:0043052,0.826
1738,GO:0043053,0.009
1739,GO:0043054,0.362
1740,GO:0043055,0.408
1741,GO:0043057,0.577
1742,GO:0043058,0.235
1743,GO:0043059,0.486
1744,GO:0043065,0.028
1745,GO:0043066,1.0
1746,GO:0043068,0.043
1748,GO:0043085,0.756
1749,GO:0043086,0.522
1750,GO:0043087,1.0
1751,GO:0043103,0.214
1752,GO:0043111,0.665
1753,GO:0043113,0.215
1754,GO:0043134,0.79
1755,GO:0043137,0.486
1756,GO:0043154,0.803
1757,GO:0043161,0.095
1758,GO:0043162,0.295
1759,GO:0043171,1.0
1760,GO:0043248,0.114
1761,GO:0043252,0.516
1762,GO:0043277,0.29
1763,GO:0043280,0.737
1764,GO:0043281,0.037
1765,GO:0043282,0.048
1766,GO:0043327,0.64
1767,GO:0043328,0.278
1768,GO:0043401,1.0
1769,GO:0043406,0.412
1770,GO:0043407,0.6
1771,GO:0043408,0.125
1772,GO:0043409,0.024
1773,GO:0043410,0.549
1774,GO:0043412,0.617
1775,GO:0043413,1.0
1776,GO:0043414,0.38
1777,GO:0043420,0.019
1778,GO:0043433,0.103
1780,GO:0043484,0.475
1781,GO:0043486,0.072
1782,GO:0043488,0.664
1783,GO:0043490,0.291
1784,GO:0043504,0.592
1785,GO:0043518,0.628
1786,GO:0043525,0.241
1787,GO:0043547,1.0
1788,GO:0043551,0.906
1789,GO:0043552,0.194
1790,GO:0043570,0.432
1792,GO:0043631,0.89
1793,GO:0043652,0.229
1794,GO:0043653,0.065
1795,GO:0043654,0.017
1796,GO:0043666,0.501
1797,GO:0043687,0.08
1798,GO:0043928,0.257
1799,GO:0043951,0.619
1800,GO:0043966,0.627
1801,GO:0043967,0.278
1802,GO:0043968,0.283
1804,GO:0043972,0.247
1805,GO:0043981,0.085
1806,GO:0043982,0.084
1807,GO:0043983,0.234
1808,GO:0043984,0.584
1809,GO:0044154,0.252
1811,GO:0044206,0.362
1812,GO:0044208,0.448
1813,GO:0044209,0.142
1814,GO:0044210,0.454
1815,GO:0044211,0.376
1816,GO:0044237,0.203
1817,GO:0044248,0.728
1818,GO:0044249,0.596
1819,GO:0044255,0.135
1820,GO:0044262,0.706
1821,GO:0044272,0.148
1822,GO:0044332,0.108
1823,GO:0044341,0.621
1824,GO:0044458,0.617
1825,GO:0044571,0.384
1826,GO:0044648,0.024
1827,GO:0044770,0.642
1828,GO:0044772,0.244
1829,GO:0044773,0.261
1830,GO:0044778,0.359
1831,GO:0044782,0.049
1832,GO:0044785,0.832
1833,GO:0044805,0.475
1834,GO:0044843,0.077
1835,GO:0045004,0.24
1836,GO:0045008,0.94
1837,GO:0045022,0.514
1838,GO:0045026,0.271
1839,GO:0045033,0.043
1840,GO:0045039,0.629
1841,GO:0045041,0.782
1842,GO:0045046,0.107
1843,GO:0045047,1.0
1844,GO:0045048,0.449
1845,GO:0045053,0.806
1846,GO:0045070,0.298
1847,GO:0045087,1.0
1848,GO:0045088,0.091
1849,GO:0045089,0.077
1850,GO:0045116,0.275
1851,GO:0045132,0.172
1852,GO:0045138,1.0
1853,GO:0045144,0.653
1854,GO:0045165,1.0
1855,GO:0045167,0.631
1856,GO:0045176,0.136
1857,GO:0045184,0.063
1859,GO:0045187,1.0
1860,GO:0045197,0.161
1861,GO:0045214,0.513
1862,GO:0045216,1.0
1863,GO:0045292,0.123
1864,GO:0045321,0.1
1865,GO:0045324,0.622
1866,GO:0045329,0.647
1867,GO:0045332,0.388
1868,GO:0045333,0.208
1869,GO:0045337,0.211
1870,GO:0045454,1.0
1871,GO:0045471,0.707
1872,GO:0045494,0.214
1873,GO:0045595,0.051
1874,GO:0045596,1.0
1875,GO:0045597,0.939
1876,GO:0045605,0.427
1877,GO:0045664,0.923
1878,GO:0045721,0.238
1879,GO:0045727,0.733
1880,GO:0045732,0.692
1881,GO:0045736,0.53
1882,GO:0045737,0.748
1883,GO:0045739,0.056
1884,GO:0045742,0.067
1885,GO:0045743,0.061
1886,GO:0045746,0.183
1887,GO:0045747,0.542
1888,GO:0045793,0.742
1889,GO:0045806,0.861
1890,GO:0045842,0.151
1891,GO:0045859,0.699
1892,GO:0045860,0.045
1893,GO:0045887,0.661
1894,GO:0045892,1.0
1895,GO:0045893,0.044
1896,GO:0045898,0.537
1897,GO:0045899,0.322
1898,GO:0045900,0.462
1899,GO:0045901,0.869
1900,GO:0045903,0.692
1901,GO:0045905,0.835
1902,GO:0045910,1.0
1903,GO:0045921,0.414
1904,GO:0045927,0.717
1905,GO:0045931,1.0
1906,GO:0045933,0.406
1907,GO:0045943,0.852
1908,GO:0045944,1.0
1909,GO:0045947,0.133
1910,GO:0045948,0.356
1911,GO:0045951,0.125
1912,GO:0045987,0.912
1913,GO:0045988,0.715
1914,GO:0045989,0.751
1915,GO:0045995,0.44
1916,GO:0046015,0.848
1917,GO:0046032,0.126
1918,GO:0046033,0.168
1919,GO:0046034,0.575
1920,GO:0046036,0.896
1921,GO:0046039,0.876
1922,GO:0046040,0.68
1923,GO:0046048,0.876
1924,GO:0046080,0.534
1925,GO:0046081,0.537
1926,GO:0046100,0.727
1927,GO:0046103,0.189
1928,GO:0046104,0.754
1929,GO:0046109,0.596
1930,GO:0046166,0.668
1931,GO:0046167,0.006
1932,GO:0046168,0.732
1933,GO:0046177,0.334
1934,GO:0046208,0.34
1935,GO:0046294,0.275
1937,GO:0046321,0.779
1938,GO:0046327,0.603
1939,GO:0046330,0.848
1940,GO:0046339,0.813
1941,GO:0046340,0.651
1942,GO:0046355,0.361
1943,GO:0046416,0.517
1944,GO:0046452,0.73
1945,GO:0046470,0.261
1946,GO:0046474,0.857
1947,GO:0046475,0.568
1948,GO:0046477,0.775
1949,GO:0046486,0.796
1950,GO:0046488,0.385
1951,GO:0046491,0.834
1952,GO:0046496,0.802
1953,GO:0046513,0.431
1954,GO:0046579,0.248
1955,GO:0046580,0.232
1956,GO:0046620,0.134
1957,GO:0046622,0.738
1958,GO:0046627,0.909
1959,GO:0046653,0.439
1960,GO:0046654,0.613
1961,GO:0046655,0.564
1962,GO:0046662,1.0
1963,GO:0046677,0.209
1964,GO:0046685,0.537
1965,GO:0046688,0.777
1966,GO:0046710,0.868
1967,GO:0046712,0.149
1968,GO:0046716,0.712
1969,GO:0046777,0.001
1970,GO:0046785,0.75
1971,GO:0046825,0.65
1972,GO:0046833,0.595
1973,GO:0046834,0.8
1974,GO:0046835,0.331
1975,GO:0046839,1.0
1976,GO:0046854,0.533
1977,GO:0046855,0.308
1978,GO:0046856,0.605
1979,GO:0046874,0.153
1980,GO:0046903,0.932
1981,GO:0046907,0.122
1982,GO:0046928,0.13
1983,GO:0046938,0.893
1984,GO:0046939,0.69
1985,GO:0046940,0.113
1986,GO:0046947,0.907
1987,GO:0046951,0.241
1988,GO:0046952,0.145
1989,GO:0046963,0.889
1990,GO:0047496,0.294
1992,GO:0048013,0.522
1993,GO:0048015,0.438
1994,GO:0048016,0.265
1995,GO:0048017,0.344
1996,GO:0048024,0.223
1997,GO:0048026,0.554
1998,GO:0048034,0.693
1999,GO:0048096,0.031
2000,GO:0048149,0.197
2001,GO:0048193,0.638
2003,GO:0048205,0.458
2004,GO:0048208,0.302
2005,GO:0048209,0.59
2006,GO:0048210,0.784
2007,GO:0048211,0.704
2008,GO:0048212,0.513
2009,GO:0048213,0.444
2011,GO:0048254,0.075
2012,GO:0048259,0.357
2013,GO:0048268,0.529
2014,GO:0048278,0.087
2015,GO:0048280,0.677
2016,GO:0048284,0.483
2017,GO:0048311,0.457
2018,GO:0048312,0.889
2019,GO:0048337,0.279
2020,GO:0048382,0.074
2021,GO:0048468,0.084
2022,GO:0048477,0.121
2023,GO:0048478,0.452
2024,GO:0048488,0.125
2025,GO:0048489,0.54
2026,GO:0048490,0.784
2027,GO:0048499,0.811
2028,GO:0048511,1.0
2030,GO:0048513,1.0
2031,GO:0048515,0.604
2032,GO:0048546,0.733
2033,GO:0048557,0.265
2034,GO:0048560,0.927
2035,GO:0048566,0.021
2036,GO:0048568,0.204
2037,GO:0048582,0.302
2038,GO:0048589,0.434
2039,GO:0048598,1.0
2040,GO:0048599,0.353
2041,GO:0048609,1.0
2042,GO:0048613,0.802
2043,GO:0048626,0.306
2044,GO:0048639,0.918
2045,GO:0048644,0.164
2046,GO:0048664,0.784
2047,GO:0048665,1.0
2048,GO:0048666,1.0
2049,GO:0048668,0.789
2050,GO:0048678,0.837
2052,GO:0048680,0.225
2053,GO:0048681,0.824
2055,GO:0048730,1.0
2056,GO:0048738,0.054
2057,GO:0048747,0.888
2058,GO:0048791,0.263
2059,GO:0048812,0.766
2060,GO:0048814,0.783
2061,GO:0048815,0.811
2062,GO:0048841,0.492
2063,GO:0048843,0.018
2064,GO:0048846,0.741
2065,GO:0048856,0.073
2066,GO:0048870,0.608
2067,GO:0050428,0.567
2068,GO:0050435,0.855
2069,GO:0050482,1.0
2070,GO:0050650,0.674
2071,GO:0050658,0.104
2072,GO:0050665,0.222
2073,GO:0050667,0.877
2074,GO:0050684,0.617
2075,GO:0050685,0.931
2076,GO:0050708,0.834
2077,GO:0050764,0.55
2078,GO:0050767,1.0
2079,GO:0050769,0.389
2080,GO:0050770,0.214
2081,GO:0050772,0.621
2082,GO:0050790,0.079
2083,GO:0050795,0.418
2084,GO:0050803,0.117
2085,GO:0050804,0.251
2086,GO:0050806,0.891
2087,GO:0050807,0.102
2088,GO:0050808,0.29
2089,GO:0050821,0.386
2090,GO:0050829,1.0
2091,GO:0050830,1.0
2092,GO:0050832,0.189
2093,GO:0050877,1.0
2094,GO:0050879,0.167
2095,GO:0050892,0.701
2096,GO:0050893,0.705
2097,GO:0050896,0.032
2098,GO:0050906,0.441
2099,GO:0050907,1.0
2100,GO:0050909,0.532
2101,GO:0050911,1.0
2102,GO:0050913,0.526
2103,GO:0050919,0.013
2104,GO:0050920,0.661
2105,GO:0050921,0.377
2106,GO:0050953,0.3
2107,GO:0050954,0.289
2108,GO:0050974,0.241
2109,GO:0050976,1.0
2111,GO:0051013,0.781
2112,GO:0051014,0.542
2113,GO:0051016,0.77
2114,GO:0051017,0.635
2115,GO:0051026,0.537
2116,GO:0051028,0.131
2117,GO:0051036,0.571
2118,GO:0051045,0.555
2119,GO:0051049,0.339
2120,GO:0051056,0.432
2121,GO:0051085,0.396
2122,GO:0051090,0.045
2123,GO:0051091,0.281
2124,GO:0051092,0.176
2125,GO:0051096,0.534
2126,GO:0051103,0.614
2127,GO:0051123,1.0
2128,GO:0051131,0.487
2129,GO:0051153,0.591
2130,GO:0051156,0.231
2131,GO:0051170,0.244
2132,GO:0051177,0.347
2134,GO:0051180,1.0
2135,GO:0051205,0.322
2136,GO:0051209,0.568
2137,GO:0051220,0.771
2138,GO:0051225,0.291
2139,GO:0051228,0.713
2140,GO:0051229,0.554
2141,GO:0051231,0.778
2142,GO:0051256,0.174
2143,GO:0051257,0.048
2144,GO:0051259,0.357
2145,GO:0051260,1.0
2146,GO:0051276,0.26
2147,GO:0051289,0.403
2148,GO:0051292,0.95
2149,GO:0051293,0.413
2150,GO:0051295,0.832
2151,GO:0051296,0.403
2152,GO:0051298,0.86
2153,GO:0051299,0.565
2154,GO:0051301,0.278
2155,GO:0051302,0.131
2156,GO:0051303,0.298
2157,GO:0051304,0.676
