Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment 
WBGene00025432	355	WBGene00025432	89	WBGene00025432	274	WBGene00025432	54
WBGene00025434	215	WBGene00025434	459	WBGene00025434	194	WBGene00025434	999
WBGene00025435	0	WBGene00025435	0	WBGene00025435	30	WBGene00025435	16
WBGene00025436	819	WBGene00025436	702	WBGene00025436	1833	WBGene00025436	1427
WBGene00025437	4	WBGene00025437	1	WBGene00025437	6	WBGene00025437	1
WBGene00025438	94	WBGene00025438	54	WBGene00025438	3	WBGene00025438	1
WBGene00025439	166	WBGene00025439	131	WBGene00025439	278	WBGene00025439	201
WBGene00025440	2	WBGene00025440	1	WBGene00025440	0	WBGene00025440	0
WBGene00025441	2555	WBGene00025441	2360	WBGene00025441	1171	WBGene00025441	1171
WBGene00025442	357	WBGene00025442	286	WBGene00025442	344	WBGene00025442	263
WBGene00025443	37	WBGene00025443	26	WBGene00025443	12	WBGene00025443	13
WBGene00025444	3	WBGene00025444	0	WBGene00025444	19	WBGene00025444	0
WBGene00025445	11	WBGene00025445	16	WBGene00025445	96	WBGene00025445	61
WBGene00025446	82	WBGene00025446	31	WBGene00025446	124	WBGene00025446	82
WBGene00025447	1165	WBGene00025447	1388	WBGene00025447	532	WBGene00025447	529
WBGene00025448	603	WBGene00025448	596	WBGene00025448	698	WBGene00025448	698
WBGene00025449	470	WBGene00025449	464	WBGene00025449	398	WBGene00025449	354
WBGene00025450	0	WBGene00025450	0	WBGene00025450	0	WBGene00025450	0
WBGene00025451	44	WBGene00025451	2	WBGene00025451	0	WBGene00025451	0
WBGene00025452	14	WBGene00025452	4	WBGene00025452	8	WBGene00025452	1
WBGene00025453	0	WBGene00025453	0	WBGene00025453	2	WBGene00025453	1
WBGene00025454	92	WBGene00025454	72	WBGene00025454	0	WBGene00025454	0
WBGene00025455	315	WBGene00025455	3	WBGene00025455	0	WBGene00025455	0
WBGene00025456	177	WBGene00025456	88	WBGene00025456	18	WBGene00025456	8
WBGene00025457	0	WBGene00025457	0	WBGene00025457	2	WBGene00025457	0
WBGene00025458	0	WBGene00025458	1	WBGene00025458	0	WBGene00025458	0
WBGene00025459	2	WBGene00025459	0	WBGene00025459	1	WBGene00025459	2
WBGene00025460	1	WBGene00025460	1	WBGene00025460	13	WBGene00025460	1
WBGene00025461	55	WBGene00025461	29	WBGene00025461	62	WBGene00025461	34
WBGene00025462	26	WBGene00025462	38	WBGene00025462	0	WBGene00025462	0
WBGene00025463	14	WBGene00025463	24	WBGene00025463	50	WBGene00025463	72
WBGene00025464	995	WBGene00025464	752	WBGene00025464	1101	WBGene00025464	736
WBGene00025465	0	WBGene00025465	0	WBGene00025465	3	WBGene00025465	0
WBGene00025466	26	WBGene00025466	22	WBGene00025466	0	WBGene00025466	0
WBGene00025467	390	WBGene00025467	324	WBGene00025467	388	WBGene00025467	372
WBGene00025468	354	WBGene00025468	346	WBGene00025468	382	WBGene00025468	392
WBGene00025469	0	WBGene00025469	0	WBGene00025469	0	WBGene00025469	0
WBGene00025470	0	WBGene00025470	0	WBGene00025470	0	WBGene00025470	0
WBGene00025471	0	WBGene00025471	1	WBGene00025471	0	WBGene00025471	0
WBGene00025473	0	WBGene00025473	0	WBGene00025473	0	WBGene00025473	0
WBGene00025474	2	WBGene00025474	1	WBGene00025474	1	WBGene00025474	0
WBGene00025475	364	WBGene00025475	250	WBGene00025475	343	WBGene00025475	224
WBGene00025476	1865	WBGene00025476	1999	WBGene00025476	3239	WBGene00025476	3296
WBGene00025477	187	WBGene00025477	132	WBGene00025477	275	WBGene00025477	182
WBGene00025479	1800	WBGene00025479	916	WBGene00025479	2717	WBGene00025479	1373
WBGene00025480	1	WBGene00025480	0	WBGene00025480	2	WBGene00025480	0
WBGene00025481	0	WBGene00025481	0	WBGene00025481	0	WBGene00025481	0
WBGene00025482	0	WBGene00025482	0	WBGene00025482	0	WBGene00025482	0
WBGene00025483	0	WBGene00025483	0	WBGene00025483	0	WBGene00025483	0
WBGene00025484	0	WBGene00025484	0	WBGene00025484	0	WBGene00025484	0
WBGene00025485	3	WBGene00025485	2	WBGene00025485	2	WBGene00025485	0
WBGene00025486	0	WBGene00025486	0	WBGene00025486	5	WBGene00025486	2
WBGene00025487	297	WBGene00025487	319	WBGene00025487	850	WBGene00025487	758
WBGene00025488	17	WBGene00025488	41	WBGene00025488	28	WBGene00025488	14
WBGene00025489	0	WBGene00025489	0	WBGene00025489	0	WBGene00025489	1
WBGene00025490	51	WBGene00025490	31	WBGene00025490	69	WBGene00025490	34
WBGene00025491	2	WBGene00025491	0	WBGene00025491	0	WBGene00025491	0
WBGene00025492	0	WBGene00025492	0	WBGene00025492	0	WBGene00025492	1
WBGene00025493	4	WBGene00025493	0	WBGene00025493	1	WBGene00025493	0
WBGene00025494	120	WBGene00025494	92	WBGene00025494	123	WBGene00025494	107
WBGene00025495	13	WBGene00025495	0	WBGene00025495	0	WBGene00025495	0
WBGene00025496	0	WBGene00025496	0	WBGene00025496	0	WBGene00025496	0
WBGene00025497	1	WBGene00025497	0	WBGene00025497	2	WBGene00025497	0
WBGene00025498	1076	WBGene00025498	333	WBGene00025498	1013	WBGene00025498	338
WBGene00025499	0	WBGene00025499	0	WBGene00025499	0	WBGene00025499	3
WBGene00025500	0	WBGene00025500	0	WBGene00025500	0	WBGene00025500	0
WBGene00025501	371	WBGene00025501	575	WBGene00025501	0	WBGene00025501	0
WBGene00025502	248	WBGene00025502	262	WBGene00025502	236	WBGene00025502	197
WBGene00025503	1	WBGene00025503	0	WBGene00025503	0	WBGene00025503	0
WBGene00025504	0	WBGene00025504	0	WBGene00025504	0	WBGene00025504	0
WBGene00025505	20	WBGene00025505	2	WBGene00025505	20	WBGene00025505	3
WBGene00025506	0	WBGene00025506	0	WBGene00025506	0	WBGene00025506	0
WBGene00025507	555	WBGene00025507	527	WBGene00025507	527	WBGene00025507	448
WBGene00025508	18	WBGene00025508	18	WBGene00025508	0	WBGene00025508	1
WBGene00025509	362	WBGene00025509	259	WBGene00025509	259	WBGene00025509	239
WBGene00025510	470	WBGene00025510	400	WBGene00025510	389	WBGene00025510	321
WBGene00025511	0	WBGene00025511	0	WBGene00025511	0	WBGene00025511	0
WBGene00025512	396	WBGene00025512	486	WBGene00025512	417	WBGene00025512	348
WBGene00025513	1339	WBGene00025513	1106	WBGene00025513	877	WBGene00025513	809
WBGene00025514	553	WBGene00025514	493	WBGene00025514	555	WBGene00025514	469
WBGene00025515	1	WBGene00025515	0	WBGene00025515	0	WBGene00025515	0
WBGene00025516	23	WBGene00025516	20	WBGene00025516	0	WBGene00025516	0
WBGene00025517	1	WBGene00025517	35	WBGene00025517	0	WBGene00025517	0
WBGene00025518	94	WBGene00025518	18	WBGene00025518	0	WBGene00025518	0
WBGene00025519	0	WBGene00025519	0	WBGene00025519	3	WBGene00025519	1
WBGene00025520	0	WBGene00025520	0	WBGene00025520	0	WBGene00025520	0
WBGene00025521	770	WBGene00025521	529	WBGene00025521	950	WBGene00025521	599
WBGene00025522	425	WBGene00025522	343	WBGene00025522	478	WBGene00025522	387
WBGene00025523	8	WBGene00025523	4	WBGene00025523	0	WBGene00025523	0
WBGene00025525	864	WBGene00025525	777	WBGene00025525	788	WBGene00025525	759
WBGene00025526	205	WBGene00025526	120	WBGene00025526	230	WBGene00025526	134
WBGene00025527	0	WBGene00025527	0	WBGene00025527	40	WBGene00025527	13
WBGene00025528	134	WBGene00025528	23	WBGene00025528	113	WBGene00025528	15
WBGene00025529	60	WBGene00025529	5	WBGene00025529	0	WBGene00025529	0
WBGene00025530	1902	WBGene00025530	1731	WBGene00025530	1798	WBGene00025530	1639
WBGene00025531	1599	WBGene00025531	1293	WBGene00025531	1472	WBGene00025531	1102
WBGene00025532	396	WBGene00025532	354	WBGene00025532	1293	WBGene00025532	398
WBGene00025533	55	WBGene00025533	53	WBGene00025533	142	WBGene00025533	52
WBGene00025534	36	WBGene00025534	19	WBGene00025534	48	WBGene00025534	17
WBGene00025535	0	WBGene00025535	0	WBGene00025535	0	WBGene00025535	0
WBGene00025536	1	WBGene00025536	0	WBGene00025536	0	WBGene00025536	0
WBGene00025537	13	WBGene00025537	1	WBGene00025537	0	WBGene00025537	1
WBGene00025538	435	WBGene00025538	185	WBGene00025538	470	WBGene00025538	270
WBGene00025540	722	WBGene00025540	277	WBGene00025540	762	WBGene00025540	309
WBGene00025541	2	WBGene00025541	5	WBGene00025541	6	WBGene00025541	2
WBGene00025542	26	WBGene00025542	13	WBGene00025542	19	WBGene00025542	9
WBGene00025543	5	WBGene00025543	25	WBGene00025543	0	WBGene00025543	0
WBGene00025544	0	WBGene00025544	0	WBGene00025544	0	WBGene00025544	0
WBGene00025545	6	WBGene00025545	5	WBGene00025545	4	WBGene00025545	0
WBGene00025546	0	WBGene00025546	0	WBGene00025546	0	WBGene00025546	0
WBGene00025547	88	WBGene00025547	69	WBGene00025547	121	WBGene00025547	144
WBGene00025548	378	WBGene00025548	466	WBGene00025548	372	WBGene00025548	405
WBGene00025549	0	WBGene00025549	2	WBGene00025549	3	WBGene00025549	2
WBGene00025550	0	WBGene00025550	0	WBGene00025550	6	WBGene00025550	0
WBGene00025551	259	WBGene00025551	248	WBGene00025551	383	WBGene00025551	282
WBGene00025552	294	WBGene00025552	246	WBGene00025552	259	WBGene00025552	201
WBGene00025553	1327	WBGene00025553	1098	WBGene00025553	32	WBGene00025553	92
WBGene00025554	3	WBGene00025554	1	WBGene00025554	0	WBGene00025554	0
WBGene00025555	3	WBGene00025555	103	WBGene00025555	0	WBGene00025555	0
WBGene00025557	16	WBGene00025557	16	WBGene00025557	700	WBGene00025557	42
WBGene00025558	23	WBGene00025558	34	WBGene00025558	620	WBGene00025558	74
WBGene00025559	587	WBGene00025559	369	WBGene00025559	40	WBGene00025559	37
WBGene00025560	91	WBGene00025560	45	WBGene00025560	1	WBGene00025560	0
WBGene00025561	0	WBGene00025561	0	WBGene00025561	1	WBGene00025561	0
WBGene00025562	252	WBGene00025562	55	WBGene00025562	1	WBGene00025562	0
WBGene00025563	0	WBGene00025563	0	WBGene00025563	0	WBGene00025563	0
WBGene00025564	168	WBGene00025564	313	WBGene00025564	157	WBGene00025564	102
WBGene00025565	50	WBGene00025565	4	WBGene00025565	0	WBGene00025565	0
WBGene00025566	38	WBGene00025566	138	WBGene00025566	11	WBGene00025566	66
WBGene00025567	146	WBGene00025567	262	WBGene00025567	1	WBGene00025567	3
WBGene00025568	788	WBGene00025568	619	WBGene00025568	300	WBGene00025568	295
WBGene00025569	1	WBGene00025569	0	WBGene00025569	0	WBGene00025569	1
WBGene00025570	173	WBGene00025570	144	WBGene00025570	293	WBGene00025570	278
WBGene00025571	0	WBGene00025571	1	WBGene00025571	2	WBGene00025571	2
WBGene00025572	438	WBGene00025572	406	WBGene00025572	440	WBGene00025572	424
WBGene00025573	34	WBGene00025573	46	WBGene00025573	5	WBGene00025573	8
WBGene00025574	479	WBGene00025574	192	WBGene00025574	0	WBGene00025574	0
WBGene00025575	727	WBGene00025575	149	WBGene00025575	90	WBGene00025575	77
WBGene00025576	728	WBGene00025576	690	WBGene00025576	599	WBGene00025576	527
WBGene00025577	61	WBGene00025577	14	WBGene00025577	47	WBGene00025577	17
WBGene00025578	0	WBGene00025578	1	WBGene00025578	0	WBGene00025578	0
WBGene00025579	22	WBGene00025579	18	WBGene00025579	32	WBGene00025579	12
WBGene00025580	4	WBGene00025580	5	WBGene00025580	0	WBGene00025580	0
WBGene00025581	0	WBGene00025581	0	WBGene00025581	0	WBGene00025581	0
WBGene00025582	96	WBGene00025582	63	WBGene00025582	106	WBGene00025582	62
WBGene00025583	11	WBGene00025583	3	WBGene00025583	49	WBGene00025583	34
WBGene00025584	6	WBGene00025584	0	WBGene00025584	2	WBGene00025584	0
WBGene00025585	0	WBGene00025585	0	WBGene00025585	0	WBGene00025585	1
WBGene00025586	0	WBGene00025586	0	WBGene00025586	0	WBGene00025586	0
WBGene00025587	0	WBGene00025587	0	WBGene00025587	0	WBGene00025587	0
WBGene00025588	17	WBGene00025588	9	WBGene00025588	14	WBGene00025588	2
WBGene00025589	3	WBGene00025589	0	WBGene00025589	9	WBGene00025589	0
WBGene00025590	1	WBGene00025590	0	WBGene00025590	2	WBGene00025590	0
WBGene00025591	72	WBGene00025591	26	WBGene00025591	92	WBGene00025591	16
WBGene00025592	12	WBGene00025592	0	WBGene00025592	22	WBGene00025592	14
WBGene00025593	4	WBGene00025593	4	WBGene00025593	6	WBGene00025593	0
WBGene00025594	1	WBGene00025594	0	WBGene00025594	0	WBGene00025594	0
WBGene00025595	339	WBGene00025595	247	WBGene00025595	412	WBGene00025595	298
WBGene00025596	762	WBGene00025596	430	WBGene00025596	813	WBGene00025596	458
WBGene00025597	0	WBGene00025597	0	WBGene00025597	86	WBGene00025597	46
WBGene00025598	297	WBGene00025598	106	WBGene00025598	176	WBGene00025598	91
WBGene00025599	1	WBGene00025599	2	WBGene00025599	0	WBGene00025599	1
WBGene00025600	414	WBGene00025600	337	WBGene00025600	326	WBGene00025600	224
WBGene00025601	62	WBGene00025601	59	WBGene00025601	0	WBGene00025601	0
WBGene00025602	6	WBGene00025602	5	WBGene00025602	10	WBGene00025602	5
WBGene00025603	0	WBGene00025603	1	WBGene00025603	8	WBGene00025603	1
WBGene00025604	0	WBGene00025604	5	WBGene00025604	154	WBGene00025604	152
WBGene00025605	90	WBGene00025605	122	WBGene00025605	123	WBGene00025605	152
WBGene00025607	26	WBGene00025607	20	WBGene00025607	28	WBGene00025607	28
WBGene00025608	7	WBGene00025608	0	WBGene00025608	12	WBGene00025608	3
WBGene00025609	11	WBGene00025609	4	WBGene00025609	12	WBGene00025609	2
WBGene00025610	71	WBGene00025610	74	WBGene00025610	75	WBGene00025610	74
WBGene00025611	331	WBGene00025611	11	WBGene00025611	0	WBGene00025611	0
WBGene00025612	53	WBGene00025612	83	WBGene00025612	68	WBGene00025612	77
WBGene00025613	0	WBGene00025613	0	WBGene00025613	0	WBGene00025613	2
WBGene00025614	0	WBGene00025614	3	WBGene00025614	3	WBGene00025614	0
WBGene00025615	505	WBGene00025615	390	WBGene00025615	470	WBGene00025615	306
WBGene00025616	680	WBGene00025616	184	WBGene00025616	0	WBGene00025616	6
WBGene00025617	926	WBGene00025617	888	WBGene00025617	919	WBGene00025617	896
WBGene00025618	0	WBGene00025618	0	WBGene00025618	0	WBGene00025618	0
WBGene00025619	0	WBGene00025619	0	WBGene00025619	8	WBGene00025619	10
WBGene00025620	1	WBGene00025620	0	WBGene00025620	0	WBGene00025620	0
WBGene00025621	9	WBGene00025621	2	WBGene00025621	2	WBGene00025621	1
WBGene00025622	0	WBGene00025622	0	WBGene00025622	32	WBGene00025622	13
WBGene00025623	40	WBGene00025623	19	WBGene00025623	29	WBGene00025623	11
WBGene00025624	0	WBGene00025624	0	WBGene00025624	40	WBGene00025624	42
WBGene00025625	51	WBGene00025625	51	WBGene00025625	30	WBGene00025625	14
WBGene00025626	819	WBGene00025626	629	WBGene00025626	784	WBGene00025626	850
WBGene00025627	3128	WBGene00025627	2674	WBGene00025627	3162	WBGene00025627	2591
WBGene00025628	4	WBGene00025628	7	WBGene00025628	3	WBGene00025628	5
WBGene00025629	27	WBGene00025629	3	WBGene00025629	73	WBGene00025629	10
WBGene00025630	16	WBGene00025630	1	WBGene00025630	0	WBGene00025630	2
WBGene00025631	0	WBGene00025631	0	WBGene00025631	0	WBGene00025631	0
WBGene00025632	8	WBGene00025632	1	WBGene00025632	3	WBGene00025632	0
WBGene00025633	475	WBGene00025633	845	WBGene00025633	381	WBGene00025633	100
WBGene00025634	76	WBGene00025634	62	WBGene00025634	86	WBGene00025634	45
WBGene00025635	51	WBGene00025635	20	WBGene00025635	44	WBGene00025635	25
WBGene00025636	0	WBGene00025636	0	WBGene00025636	2	WBGene00025636	2
WBGene00025637	0	WBGene00025637	1	WBGene00025637	0	WBGene00025637	1
WBGene00025638	0	WBGene00025638	0	WBGene00025638	0	WBGene00025638	0
WBGene00025639	633	WBGene00025639	324	WBGene00025639	484	WBGene00025639	285
WBGene00025640	2	WBGene00025640	0	WBGene00025640	4	WBGene00025640	1
WBGene00025641	10	WBGene00025641	12	WBGene00025641	8	WBGene00025641	96
WBGene00025642	0	WBGene00025642	0	WBGene00025642	0	WBGene00025642	0
WBGene00025643	3	WBGene00025643	0	WBGene00025643	7	WBGene00025643	0
WBGene00025644	206	WBGene00025644	187	WBGene00025644	274	WBGene00025644	214
WBGene00025645	1	WBGene00025645	1	WBGene00025645	1	WBGene00025645	1
WBGene00025646	115	WBGene00025646	98	WBGene00025646	133	WBGene00025646	74
WBGene00025647	1	WBGene00025647	1	WBGene00025647	1	WBGene00025647	2
WBGene00025648	0	WBGene00025648	0	WBGene00025648	422	WBGene00025648	42
WBGene00025649	0	WBGene00025649	0	WBGene00025649	0	WBGene00025649	3
WBGene00025650	31	WBGene00025650	260	WBGene00025650	19	WBGene00025650	241
WBGene00025651	1770	WBGene00025651	1119	WBGene00025651	1411	WBGene00025651	910
WBGene00025652	307	WBGene00025652	438	WBGene00025652	25	WBGene00025652	16
WBGene00025653	530	WBGene00025653	516	WBGene00025653	592	WBGene00025653	587
WBGene00025654	9	WBGene00025654	13	WBGene00025654	480	WBGene00025654	84
WBGene00025655	80	WBGene00025655	18	WBGene00025655	1	WBGene00025655	0
WBGene00025656	1	WBGene00025656	0	WBGene00025656	36	WBGene00025656	2583
WBGene00025657	1712	WBGene00025657	892	WBGene00025657	834	WBGene00025657	734
WBGene00025658	113	WBGene00025658	27	WBGene00025658	52	WBGene00025658	18
WBGene00025659	308	WBGene00025659	345	WBGene00025659	262	WBGene00025659	300
WBGene00025660	0	WBGene00025660	0	WBGene00025660	6	WBGene00025660	2
WBGene00025661	1	WBGene00025661	0	WBGene00025661	1715	WBGene00025661	3532
WBGene00025662	0	WBGene00025662	0	WBGene00025662	5	WBGene00025662	0
WBGene00025663	0	WBGene00025663	0	WBGene00025663	0	WBGene00025663	0
WBGene00025664	9	WBGene00025664	2	WBGene00025664	4	WBGene00025664	3
WBGene00025665	39	WBGene00025665	0	WBGene00025665	2	WBGene00025665	0
WBGene00025666	9	WBGene00025666	2	WBGene00025666	0	WBGene00025666	2
WBGene00025667	60	WBGene00025667	17	WBGene00025667	0	WBGene00025667	1
WBGene00025669	0	WBGene00025669	0	WBGene00025669	0	WBGene00025669	0
WBGene00025670	28	WBGene00025670	13	WBGene00025670	29	WBGene00025670	10
WBGene00025671	5	WBGene00025671	1	WBGene00025671	1	WBGene00025671	0
WBGene00025673	25	WBGene00025673	7	WBGene00025673	11	WBGene00025673	5
WBGene00025674	4	WBGene00025674	1	WBGene00025674	2	WBGene00025674	0
WBGene00025675	19	WBGene00025675	13	WBGene00025675	0	WBGene00025675	0
WBGene00025676	81	WBGene00025676	30	WBGene00025676	95	WBGene00025676	50
WBGene00025677	0	WBGene00025677	0	WBGene00025677	0	WBGene00025677	0
WBGene00025678	16	WBGene00025678	13	WBGene00025678	32	WBGene00025678	11
WBGene00025679	1	WBGene00025679	0	WBGene00025679	1	WBGene00025679	0
WBGene00025680	0	WBGene00025680	1	WBGene00025680	0	WBGene00025680	0
WBGene00025682	85	WBGene00025682	55	WBGene00025682	77	WBGene00025682	44
WBGene00025683	72	WBGene00025683	82	WBGene00025683	268	WBGene00025683	259
WBGene00025684	1373	WBGene00025684	1232	WBGene00025684	72	WBGene00025684	60
WBGene00025685	1	WBGene00025685	3	WBGene00025685	1055	WBGene00025685	11
WBGene00025686	3	WBGene00025686	2	WBGene00025686	108	WBGene00025686	18
WBGene00025687	1066	WBGene00025687	1172	WBGene00025687	1064	WBGene00025687	1209
WBGene00025688	45	WBGene00025688	30	WBGene00025688	27	WBGene00025688	21
WBGene00025689	16	WBGene00025689	22	WBGene00025689	21	WBGene00025689	14
WBGene00025691	230	WBGene00025691	471	WBGene00025691	206	WBGene00025691	175
WBGene00025692	0	WBGene00025692	0	WBGene00025692	1	WBGene00025692	1
WBGene00025693	0	WBGene00025693	0	WBGene00025693	0	WBGene00025693	0
WBGene00025694	0	WBGene00025694	2	WBGene00025694	0	WBGene00025694	1
WBGene00025695	9	WBGene00025695	3	WBGene00025695	4	WBGene00025695	3
WBGene00025696	0	WBGene00025696	1	WBGene00025696	0	WBGene00025696	3
WBGene00025697	582	WBGene00025697	633	WBGene00025697	799	WBGene00025697	846
WBGene00025698	323	WBGene00025698	319	WBGene00025698	251	WBGene00025698	275
WBGene00025699	0	WBGene00025699	0	WBGene00025699	3	WBGene00025699	0
WBGene00025700	13	WBGene00025700	8	WBGene00025700	10	WBGene00025700	7
WBGene00025701	0	WBGene00025701	0	WBGene00025701	0	WBGene00025701	0
WBGene00025702	85	WBGene00025702	84	WBGene00025702	69	WBGene00025702	71
WBGene00025703	603	WBGene00025703	749	WBGene00025703	543	WBGene00025703	619
WBGene00025704	0	WBGene00025704	2	WBGene00025704	0	WBGene00025704	0
WBGene00025706	598	WBGene00025706	577	WBGene00025706	782	WBGene00025706	886
WBGene00025707	1326	WBGene00025707	1169	WBGene00025707	1000	WBGene00025707	998
WBGene00025708	152	WBGene00025708	97	WBGene00025708	218	WBGene00025708	101
WBGene00025709	0	WBGene00025709	0	WBGene00025709	0	WBGene00025709	0
WBGene00025710	10	WBGene00025710	5	WBGene00025710	4	WBGene00025710	0
WBGene00025711	0	WBGene00025711	0	WBGene00025711	0	WBGene00025711	0
WBGene00025712	3	WBGene00025712	1	WBGene00025712	1	WBGene00025712	0
WBGene00025715	1	WBGene00025715	0	WBGene00025715	0	WBGene00025715	0
WBGene00025716	6	WBGene00025716	0	WBGene00025716	0	WBGene00025716	0
WBGene00025717	2	WBGene00025717	1	WBGene00025717	0	WBGene00025717	0
WBGene00025718	0	WBGene00025718	0	WBGene00025718	0	WBGene00025718	0
WBGene00025719	0	WBGene00025719	0	WBGene00025719	0	WBGene00025719	0
WBGene00025721	1	WBGene00025721	0	WBGene00025721	0	WBGene00025721	0
WBGene00025722	0	WBGene00025722	0	WBGene00025722	1	WBGene00025722	0
WBGene00025723	0	WBGene00025723	0	WBGene00025723	1	WBGene00025723	1
WBGene00025724	117	WBGene00025724	40	WBGene00025724	126	WBGene00025724	35
WBGene00025725	0	WBGene00025725	0	WBGene00025725	0	WBGene00025725	0
WBGene00025726	0	WBGene00025726	0	WBGene00025726	0	WBGene00025726	0
WBGene00025727	11	WBGene00025727	9	WBGene00025727	6	WBGene00025727	0
WBGene00025728	0	WBGene00025728	0	WBGene00025728	9	WBGene00025728	0
WBGene00025729	3	WBGene00025729	0	WBGene00025729	5	WBGene00025729	9
WBGene00025730	705	WBGene00025730	1108	WBGene00025730	654	WBGene00025730	826
WBGene00025731	6	WBGene00025731	8	WBGene00025731	22	WBGene00025731	8
WBGene00025732	582	WBGene00025732	509	WBGene00025732	573	WBGene00025732	567
WBGene00025733	380	WBGene00025733	318	WBGene00025733	338	WBGene00025733	342
WBGene00025734	117	WBGene00025734	41	WBGene00025734	61	WBGene00025734	57
WBGene00025735	14	WBGene00025735	9	WBGene00025735	17	WBGene00025735	8
WBGene00025736	105	WBGene00025736	94	WBGene00025736	81	WBGene00025736	97
WBGene00025738	43	WBGene00025738	16	WBGene00025738	0	WBGene00025738	0
WBGene00025739	805	WBGene00025739	974	WBGene00025739	1089	WBGene00025739	1190
WBGene00025740	28	WBGene00025740	10	WBGene00025740	0	WBGene00025740	0
WBGene00025741	1505	WBGene00025741	1459	WBGene00025741	1642	WBGene00025741	1279
WBGene00025742	0	WBGene00025742	0	WBGene00025742	0	WBGene00025742	0
WBGene00025743	1307	WBGene00025743	1558	WBGene00025743	1665	WBGene00025743	1754
WBGene00025744	0	WBGene00025744	0	WBGene00025744	3	WBGene00025744	25
WBGene00025745	35	WBGene00025745	11	WBGene00025745	29	WBGene00025745	11
WBGene00025746	354	WBGene00025746	327	WBGene00025746	246	WBGene00025746	502
WBGene00025747	2	WBGene00025747	0	WBGene00025747	0	WBGene00025747	0
WBGene00025748	3	WBGene00025748	0	WBGene00025748	2	WBGene00025748	0
WBGene00025749	175	WBGene00025749	184	WBGene00025749	134	WBGene00025749	165
WBGene00025750	13	WBGene00025750	3	WBGene00025750	30	WBGene00025750	15
WBGene00025751	0	WBGene00025751	0	WBGene00025751	0	WBGene00025751	0
WBGene00025752	66	WBGene00025752	49	WBGene00025752	97	WBGene00025752	45
WBGene00025753	3	WBGene00025753	7	WBGene00025753	5	WBGene00025753	1
WBGene00025754	11	WBGene00025754	9	WBGene00025754	4	WBGene00025754	4
WBGene00025755	18	WBGene00025755	14	WBGene00025755	159	WBGene00025755	539
WBGene00025756	0	WBGene00025756	0	WBGene00025756	0	WBGene00025756	0
WBGene00025757	6	WBGene00025757	0	WBGene00025757	0	WBGene00025757	1
WBGene00025758	8	WBGene00025758	7	WBGene00025758	7	WBGene00025758	2
WBGene00025759	3318	WBGene00025759	2196	WBGene00025759	2980	WBGene00025759	1579
WBGene00025760	0	WBGene00025760	0	WBGene00025760	0	WBGene00025760	0
WBGene00025761	1	WBGene00025761	1	WBGene00025761	6	WBGene00025761	3
WBGene00025762	0	WBGene00025762	0	WBGene00025762	4	WBGene00025762	2
WBGene00025763	2	WBGene00025763	1	WBGene00025763	4	WBGene00025763	1
WBGene00025764	0	WBGene00025764	0	WBGene00025764	1	WBGene00025764	0
WBGene00025765	3	WBGene00025765	0	WBGene00025765	0	WBGene00025765	0
WBGene00025766	0	WBGene00025766	0	WBGene00025766	2	WBGene00025766	0
WBGene00025767	0	WBGene00025767	0	WBGene00025767	0	WBGene00025767	0
WBGene00025768	193	WBGene00025768	152	WBGene00025768	262	WBGene00025768	223
WBGene00025769	64	WBGene00025769	14	WBGene00025769	55	WBGene00025769	13
WBGene00025770	0	WBGene00025770	0	WBGene00025770	4	WBGene00025770	0
WBGene00025772	0	WBGene00025772	0	WBGene00025772	0	WBGene00025772	0
WBGene00025773	0	WBGene00025773	0	WBGene00025773	0	WBGene00025773	3
WBGene00025774	3	WBGene00025774	0	WBGene00025774	2	WBGene00025774	0
WBGene00025775	0	WBGene00025775	1	WBGene00025775	2	WBGene00025775	0
WBGene00025776	3	WBGene00025776	5	WBGene00025776	1	WBGene00025776	2
WBGene00025777	959	WBGene00025777	1026	WBGene00025777	978	WBGene00025777	1092
WBGene00025778	3	WBGene00025778	0	WBGene00025778	2	WBGene00025778	0
WBGene00025779	209	WBGene00025779	59	WBGene00025779	45	WBGene00025779	15
WBGene00025780	174	WBGene00025780	111	WBGene00025780	119	WBGene00025780	102
WBGene00025781	1361	WBGene00025781	1096	WBGene00025781	15	WBGene00025781	10
WBGene00025782	21	WBGene00025782	2	WBGene00025782	2	WBGene00025782	2
WBGene00025783	1523	WBGene00025783	1708	WBGene00025783	1509	WBGene00025783	1732
WBGene00025785	7	WBGene00025785	2	WBGene00025785	0	WBGene00025785	1
WBGene00025786	0	WBGene00025786	0	WBGene00025786	0	WBGene00025786	0
WBGene00025788	3	WBGene00025788	7	WBGene00025788	4	WBGene00025788	4
WBGene00025789	0	WBGene00025789	0	WBGene00025789	0	WBGene00025789	0
WBGene00025790	453	WBGene00025790	474	WBGene00025790	547	WBGene00025790	582
WBGene00025791	1996	WBGene00025791	1735	WBGene00025791	2086	WBGene00025791	1683
WBGene00025792	119	WBGene00025792	30	WBGene00025792	67	WBGene00025792	39
WBGene00025793	0	WBGene00025793	1	WBGene00025793	0	WBGene00025793	3
WBGene00025794	1	WBGene00025794	0	WBGene00025794	2	WBGene00025794	0
WBGene00025795	1319	WBGene00025795	848	WBGene00025795	968	WBGene00025795	684
WBGene00025796	1681	WBGene00025796	954	WBGene00025796	1221	WBGene00025796	691
