GO:0000278	WBGene00025031,WBGene00025304,WBGene00025499,WBGene00025501,WBGene00026580,WBGene00026589,WBGene00026818,WBGene00026855,WBGene00029826,WBGene00030860,WBGene00031519,WBGene00033172,WBGene00033180,WBGene00033365,WBGene00034011,WBGene00034052,WBGene00034751,WBGene00036169,WBGene00036628,WBGene00037273,WBGene00037506,WBGene00037763,WBGene00037778,WBGene00038127,WBGene00039237,WBGene00041490,WBGene00087413
GO:0000281	WBGene00023548,WBGene00025260,WBGene00025261,WBGene00025262,WBGene00025265,WBGene00026271,WBGene00028169,WBGene00030700,WBGene00031376,WBGene00034622,WBGene00035024,WBGene00036922,WBGene00037703,WBGene00039115,WBGene00039610,WBGene00039749,WBGene00040819,WBGene00040916,WBGene00041507,WBGene00041508,WBGene00042553,WBGene00042554,WBGene00219240
GO:0000288	WBGene00031475,WBGene00033960,WBGene00037748
GO:0000289	WBGene00024694,WBGene00030321,WBGene00031475,WBGene00036410
GO:0000290	WBGene00024943,WBGene00025920,WBGene00026051,WBGene00030210,WBGene00031475,WBGene00033795
GO:0000291	WBGene00026920
GO:0000301	WBGene00023719
GO:0000302	WBGene00024778,WBGene00026143,WBGene00036144,WBGene00037111,WBGene00037113
GO:0000303	WBGene00024778,WBGene00025574,WBGene00026143,WBGene00039264
GO:0000338	WBGene00024927,WBGene00028060,WBGene00039027
GO:0000349	WBGene00040133
GO:0000350	WBGene00026328,WBGene00041495
GO:0000379	WBGene00034643
GO:0000380	WBGene00023811
GO:0000381	WBGene00024992,WBGene00025229,WBGene00025684,WBGene00025858,WBGene00025859,WBGene00026353,WBGene00026405,WBGene00035126,WBGene00035466,WBGene00035657,WBGene00035838,WBGene00035899,WBGene00037303,WBGene00037565,WBGene00038303,WBGene00039221,WBGene00039398,WBGene00040557,WBGene00041855,WBGene00042357,WBGene00087193
GO:0000387	WBGene00023816,WBGene00025683,WBGene00025916,WBGene00026850,WBGene00032831,WBGene00033226,WBGene00033936,WBGene00035511,WBGene00038834,WBGene00040460,WBGene00041715,WBGene00087356
GO:0000388	WBGene00029804
GO:0000389	WBGene00026480,WBGene00035480,WBGene00041495
GO:0000390	WBGene00025449,WBGene00025732
GO:0000395	WBGene00030676,WBGene00038834
GO:0000398	WBGene00023540,WBGene00023809,WBGene00023811,WBGene00024963,WBGene00025615,WBGene00025938,WBGene00026480,WBGene00026850,WBGene00027364,WBGene00027915,WBGene00028014,WBGene00028315,WBGene00028723,WBGene00029046,WBGene00029165,WBGene00029804,WBGene00029912,WBGene00030866,WBGene00031152,WBGene00031253,WBGene00031505,WBGene00032097,WBGene00032831,WBGene00033226,WBGene00033315,WBGene00033658,WBGene00033936,WBGene00034128,WBGene00034285,WBGene00034640,WBGene00034641,WBGene00035280,WBGene00035648,WBGene00035820,WBGene00036499,WBGene00036550,WBGene00037190,WBGene00037825,WBGene00038834,WBGene00039366,WBGene00039392,WBGene00040133,WBGene00040773,WBGene00040999,WBGene00041165,WBGene00041675,WBGene00042357,WBGene00088800
